id,name,manufacturer,architecture,gpu_chip,release_date,bus_interface,memory_size,memory_type,memory_bus,memory_bandwidth,gpu_clock,boost_clock,memory_clock,shaders,tmus,rops,tdp,process_node,transistors,die_size,source_url,source_page,collected_at,last_updated_at,memory_size_gb,tdp_w,release_year,created_at
1822,2×,AMD,Radeon Pro V series,,381.7672,,,,,,,,,,,,,,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:44Z,2026-07-20T05:59:47Z,,,,2026-07-20 05:59:44
1086,3D Rage,AMD,Rage series,,April 1996,PCI,,EDO,64,0.32,40,,40,1:0:1:1,,,,500,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:28Z,2026-07-20T05:59:28Z,,,1996,2026-07-20 05:59:28
1087,3D Rage II,AMD,Rage series,,September 1996,"AGP 1× (Rage IIc only), PCI",,"EDO, SGRAM, SDR",64,0.664,60,,83 (66 MHz with EDO),1:0:1:1,,,,500,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:28Z,2026-07-20T05:59:28Z,,,1996,2026-07-20 05:59:28
1948,AMD Instinct MI100(Arcturus),AMD,Radeon Instinct series,,"Nov 16, 2020",PCIe 4.0×16,32,HBM24096-bit,,1228.8,,,,,,,,CDNA 1TSMC N7,25.6×109750 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2020,2026-07-20 05:59:47
1949,AMD Instinct MI210(Aldebaran),AMD,Radeon Instinct series,,"Mar 22, 2022",PCIe 4.0×16,64,HBM2E4096-bit,,1638.4,,,,,,,,CDNA 2TSMC N6,28 × 109~770 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2022,2026-07-20 05:59:47
1950,AMD Instinct MI250(Aldebaran),AMD,Radeon Instinct series,,"Nov 8, 2021",PCIe 4.0×16,2 × 64,HBM2E2 × 4096-bit,,2 × 1638.4,,,,,,,,CDNA 2TSMC N6,58 × 1091540 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2021,2026-07-20 05:59:47
1951,AMD Instinct MI250X(Aldebaran),AMD,Radeon Instinct series,,"Nov 8, 2021",PCIe 4.0×16,2 × 64,HBM2E2 × 4096-bit,,2 × 1638.4,,,,,,,,CDNA 2TSMC N6,58 × 1091540 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2021,2026-07-20 05:59:47
1952,AMD Instinct MI300A(Antares),AMD,Radeon Instinct series,,"Dec 6, 2023",PCIe 5.0×16,128,HBM38192-bit,,5300,,,,,,,,CDNA 3TSMC N5 & N6,146 × 1091017 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2023,2026-07-20 05:59:47
1953,AMD Instinct MI300X(Aqua Vanjaram),AMD,Radeon Instinct series,,"Dec 6, 2023",PCIe 5.0×16,192,HBM38192-bit,,5300,,,,,,,,CDNA 3TSMC N5 & N6,153 × 1091017 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2023,2026-07-20 05:59:47
1954,AMD Instinct MI350X,AMD,Radeon Instinct series,,"Jun 12, 2025",PCIe 5.0×16 (OAM),288,HBM3e8192-bit,,8000,,,,,,,,CDNA 4TSMC N3 & N6,185 × 1091017 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2025,2026-07-20 05:59:47
1955,AMD Instinct MI355X,AMD,Radeon Instinct series,,"Jun 12, 2025",PCIe 5.0×16 (OAM),288,HBM3e8192-bit,,8000,,,,,,,,CDNA 4TSMC N3 & N6,185 × 1091017 mm2,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2025,2026-07-20 05:59:47
1985,Aerith (Steam Deck),AMD,Console GPUs,RDNA 2,February 2022,Integrated,,,128,88,~1000/~1600 (Boost),,,512:32:16:8,,,,TSMC 7 nm / 6 nm,"probably ~2,400",,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:48Z,2026-07-20T05:59:48Z,,,2022,2026-07-20 05:59:48
1247,All-in-Wonder 128,AMD,All-in-Wonder series,Rage 4,"January 25, 1999",AGP PCI,16,SDR,128,1.44,90,,90,2:0:2:2,,,5,250,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,5,1999,2026-07-20 05:59:32
1266,All-in-Wonder 2006,AMD,All-in-Wonder series,RV515,"December 22, 2005",PCIe ×16,256,DDR2,128,12.8,450,,800,4:2:4:4,,,23,90,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,23,2005,2026-07-20 05:59:32
1250,All-in-Wonder 7500,AMD,All-in-Wonder series,RV200,"January 22, 2002",AGP 4×,64,DDR,128,5.760,260,,180,2:1:6:2,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,,2002,2026-07-20 05:59:32
1251,All-in-Wonder 8500,AMD,All-in-Wonder series,R200,"April 4, 2002",AGP 4×,128,DDR,128,8.8,260,,275,4:2:8:4,,,31,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,31,2002,2026-07-20 05:59:32
1252,All-in-Wonder 8500 DV,AMD,All-in-Wonder series,R200,"August 30, 2001",AGP 4×,64,DDR,128,6.08,230,,190,4:2:8:4,,,31,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,31,2001,2026-07-20 05:59:32
1253,All-in-Wonder 9000 Pro,AMD,All-in-Wonder series,RV250,"March 31, 2003",AGP 8x,"64, 128",DDR,128,7.2,275,,225,4:1:4:4,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,,2003,2026-07-20 05:59:32
1254,All-in-Wonder 9200,AMD,All-in-Wonder series,RV250,"January 26, 2004",AGP 8x,128,DDR,128,6.4,250,,200,4:1:4:4,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,,2004,2026-07-20 05:59:32
1255,All-in-Wonder 9200 SE,AMD,All-in-Wonder series,RV250,,AGP 8x,128,DDR,64,2.656,250,,166,4:1:4:4,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,,,2026-07-20 05:59:32
1256,All-in-Wonder 9600,AMD,All-in-Wonder series,RV350,"January 26, 2004",AGP 8x,128,DDR,128,6.4,325,,400,4:2:4:4,,,17,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,17,2004,2026-07-20 05:59:32
1257,All-in-Wonder 9600 Pro,AMD,All-in-Wonder series,RV350,"August 5, 2003",AGP 8x,128,DDR,128,10.4,400,,650,4:2:4:4,,,19,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,19,2003,2026-07-20 05:59:32
1258,All-in-Wonder 9600 XT,AMD,All-in-Wonder series,RV350,"January 26, 2004",AGP 8x,128,DDR,128,10.4,525,,650,4:2:4:4,,,20,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,20,2004,2026-07-20 05:59:32
1259,All-in-Wonder 9700 Pro,AMD,All-in-Wonder series,R300,"December 30, 2002",AGP 8x,128,DDR,256,19.84,325,,620,8:4:8:8,,,50,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,50,2002,2026-07-20 05:59:32
1260,All-in-Wonder 9800 Pro,AMD,All-in-Wonder series,R350,"April 7, 2003",AGP 8x,128,DDR,256,21.76,380,,680,8:4:8:8,,,52,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,52,2003,2026-07-20 05:59:32
1261,All-in-Wonder 9800 SE,AMD,All-in-Wonder series,R350,"November 1, 2003",AGP 8x,128,DDR,128,10.88,380,,680,4:4:4:8,,,39,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,39,2003,2026-07-20 05:59:32
1269,All-in-Wonder HD 3650,AMD,All-in-Wonder series,RV635,"June 28, 2008",PCIe ×16,512,DDR2,128,19.2,725,,1200,120:8:4,,,26,55,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:33Z,2026-07-20T05:59:33Z,,26,2008,2026-07-20 05:59:33
1249,All-in-Wonder Radeon,AMD,All-in-Wonder series,R100,"July 31, 2000",AGP 4×,32,DDR,128,5.312,166,,166,2:1:6:2,,,13,180,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,13,2000,2026-07-20 05:59:32
1248,All-in-Wonder VE,AMD,All-in-Wonder series,RV100,"December 2, 2002",PCI,64,DDR,64,2.9,183,,183,1:0:3:1,,,10,180,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,10,2002,2026-07-20 05:59:32
1267,All-in-Wonder X1800 XL,AMD,All-in-Wonder series,R520,"November 21, 2005",PCIe ×16,256,GDDR3,256,32,500,,1000,16:8:16:16,,,78,90,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,78,2005,2026-07-20 05:59:32
1268,All-in-Wonder X1900,AMD,All-in-Wonder series,R580,"January 24, 2006",PCIe ×16,256,GDDR3,256,30.72,500,,960,48:8:16:16,,,91,90,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,91,2006,2026-07-20 05:59:32
1262,All-in-Wonder X600 Pro,AMD,All-in-Wonder series,RV370,"September 21, 2004",AGP 8x,"AGP 128, PCIe 256",DDR,128,9.6,400,,600,4:2:4:4,,,30,110,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,30,2004,2026-07-20 05:59:32
1263,All-in-Wonder X800 GT,AMD,All-in-Wonder series,R430,"August 8, 2005",PCIe ×16,128,GDDR3,256,31.36,490,,980,8:6:8:16,,,35,110,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,35,2005,2026-07-20 05:59:32
1264,All-in-Wonder X800 XL,AMD,All-in-Wonder series,R430,"July 5, 2005",PCIe ×16AGP 8×,256,GDDR3,256,31.36,400,,980,16:6:16:16,,,57,110,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,57,2005,2026-07-20 05:59:32
1265,All-in-Wonder X800 XT,AMD,All-in-Wonder series,R420,"September 9, 2004",AGP 8×,256,GDDR3,256,32,500,,1000,16:6:16:16,,,81,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:32Z,2026-07-20T05:59:32Z,,81,2004,2026-07-20 05:59:32
1983,Anaconda (Xbox Series X),AMD,Console GPUs,RDNA 2,"November 10, 2020",Integrated,,,320,560,1825,,,3328:208:64:52,,,,TSMC 7 nm / 6 nm,"15,300",,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:48Z,2026-07-20T05:59:48Z,,,2020,2026-07-20 05:59:48
1989,Code Name (Console Model),AMD,Console GPUs,GPU Code Name and/or Architecture,Launch,Bus interface,,,Memory,Memory,Core clock (MHz),,,"Core config1,2,3",,,,Fab(nm),Transistors(million),,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:48Z,2026-07-20T05:59:48Z,,,,2026-07-20 05:59:48
1978,Durango (Xbox One),AMD,Console GPUs,GCN 2,"November 22, 2013",Integrated,,,,"68.3218, 219 (One S)","853,(One S) 914",,,768:48:16,,,,TSMC 28 nm(One S) 16 nm,"4,800 GPU + eSRAM GPU probably ~2,000",,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:47Z,2026-07-20T05:59:47Z,,,2013,2026-07-20 05:59:47
1722,FireGL 8700,AMD,FireGL series,,2001,AGP,64,DDR,64 × 2,8.64,250,,270,2:4:8:41,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:42Z,2026-07-20T05:59:42Z,,,2001,2026-07-20 05:59:42
1723,FireGL 8800,AMD,FireGL series,,2001,AGP,128,DDR,64 × 2,9.28,300,,290,2:4:8:41,,,,150,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:42Z,2026-07-20T05:59:42Z,,,2001,2026-07-20 05:59:42
1725,FireGL T2-128,AMD,FireGL series,,2003,AGP,128,DDR,128,10.2,400,,320,2:4:4:41,,,,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:42Z,2026-07-20T05:59:42Z,,,2003,2026-07-20 05:59:42
1724,FireGL T2-64,AMD,FireGL series,,2003,AGP,64,DDR,128,6.4,325,,200,2:4:4:41,,,,130,,,,List_of_AMD_graphics_processing_units,2026-07-20T05:59:42Z,2026-07-20T05:59:42Z,,,2003,2026-07-20 05:59:42
